time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume
1760922180,6714,6716,6714,6715.5,6708.370209208504,6715.5756521361045,6701.164766280904,250
1760922240,6715.5,6716.25,6714.75,6716.25,6708.395809852799,6715.601819413101,6701.189800292497,237
1760922300,6716.25,6716.5,6715,6715.25,6708.417835271686,6715.623754594838,6701.211915948535,210
1760922360,6715.25,6717.5,6715,6715.75,6708.476995308564,6715.686330970797,6701.267659646332,533
1760922420,6716,6716.25,6715.5,6715.75,6708.504586086188,6715.714425904612,6701.294746267765,260
1760922480,6715.75,6716,6715.25,6715.75,6708.524265245351,6715.733947412116,6701.314583078585,191
1760922540,6715.75,6718.25,6715.75,6717,6708.5847949666495,6715.804052105922,6701.365537827377,500
1760922600,6717,6717.25,6714.75,6715.75,6708.617426935511,6715.837115434528,6701.3977384364935,313
1760922660,6715.75,6716.25,6714.25,6714.25,6708.64196328664,6715.858252570186,6701.425674003094,275
1760922720,6714.25,6715,6713.75,6715,6708.660001506252,6715.872738590893,6701.447264421611,215
1760922780,6714.75,6716.25,6714.25,6716,6708.677727699532,6715.889501927356,6701.4659534717075,184
1760922840,6715.75,6716.5,6714.25,6714.75,6708.691953829147,6715.90220856417,6701.4816990941235,156
1760922900,6714.5,6715.25,6714.25,6714.75,6708.700031110676,6715.908867673168,6701.491194548184,95
1760922960,6714.75,6715.5,6714,6715,6708.711715718549,6715.918646402503,6701.504785034595,136
1760923020,6715.25,6717.5,6715.25,6716.25,6708.742552236656,6715.951142822548,6701.533961650764,290
1760923080,6716.25,6718.25,6716.25,6718.25,6708.772055517705,6715.986646797246,6701.557464238163,240
1760923140,6718.25,6719.25,6717.75,6719,6708.845254854872,6716.0829468275015,6701.607562882243,536
1760923200,6719,6719.5,6717.5,6718.5,6708.891274038462,6716.1422520734095,6701.640296003515,347
1760923260,6718.5,6719,6718.25,6718.75,6708.914181661209,6716.172065697209,6701.656297625209,171
1760923320,6718.75,6720.75,6718,6720.75,6708.973562082596,6716.256094032398,6701.6910301327935,399
1760923380,6720.5,6720.75,6719,6719.25,6709.021008317843,6716.322038785885,6701.719977849801,327
1760923440,6719.25,6720,6719,6719.25,6709.045354451515,6716.35512253186,6701.73558637117,173
1760923500,6719,6719.5,6718.5,6719,6709.071965401164,6716.39002979496,6701.753901007367,198
1760923560,6718.75,6718.75,6718,6718,6709.1046854470205,6716.430146475497,6701.779224418544,265
1760923620,6718.25,6719.25,6718,6718.75,6709.116377109535,6716.444980235026,6701.787773984044,91
1760923680,6719,6719.75,6718.75,6718.75,6709.156657879008,6716.497721765301,6701.815593992715,302
1760923740,6718.5,6718.75,6718,6718,6709.173662499222,6716.518373634524,6701.828951363919,140
1760923800,6718,6718.25,6716.25,6716.75,6709.23498915411,6716.583991818183,6701.885986490037,585
1760923860,6716.75,6717.75,6716.5,6716.75,6709.257462226335,6716.6076684966265,6701.907255956043,219
1760923920,6717,6718.25,6716.75,6717.5,6709.293036220252,6716.647240305595,6701.93883213491,328
1760923980,6717.5,6717.75,6716,6716.75,6709.323570139918,6716.67847391115,6701.968666368686,309
1760924040,6716.5,6716.75,6715,6715.5,6709.347984499161,6716.699542307305,6701.9964266910165,291
1760924100,6715.75,6716,6714.75,6715.75,6709.364485139664,6716.713068958615,6702.015901320713,206
1760924160,6715.5,6715.75,6714.25,6715.5,6709.38203395771,6716.726410609135,6702.037657306284,233
1760924220,6715.75,6716,6714.25,6714.5,6709.3995085036,6716.738852711232,6702.060164295969,244
1760924280,6714.25,6715.5,6713.5,6715.25,6709.435679523266,6716.763301696483,6702.108057350049,526
1760924340,6715.5,6718,6715.5,6715.75,6709.4878634997185,6716.812769490629,6702.162957508808,586
1760924400,6716,6716.75,6715,6716.5,6709.513007298406,6716.835227286297,6702.190787310515,300
1760924460,6716.5,6717.5,6715.75,6716.25,6709.567450710916,6716.886915443067,6702.247985978765,618
1760924520,6716,6716.5,6715.25,6715.5,6709.594228097487,6716.909100713073,6702.279355481901,345
1760924580,6715.5,6717.5,6715.25,6717,6709.608762830632,6716.922958585856,6702.294567075409,166
1760924640,6717.25,6718,6717,6717.5,6709.629862395256,6716.94563130134,6702.314093489173,214
1760924700,6717.75,6717.75,6716,6716.25,6709.63838035932,6716.953813053866,6702.322947664774,97
1760924760,6716.25,6717,6716,6716,6709.67237797257,6716.984713780817,6702.360042164322,409
