ticker,cik,accession,primary,filing_date,MD&A_pos,MD&A_neg,MD&A_sent,MD&A_boost,Results_pos,Results_neg,Results_sent,Results_boost,sent_overall,close_0,close_7,close_28,ret_7,ret_28,RiskFactors_pos,RiskFactors_neg,RiskFactors_sent,RiskFactors_boost
CELH,0001341766,000134176624000029,celh-20240331.htm,2024-05-07,7.283369632204995e-05,1.6307410987792537e-05,5.652628533425741e-05,0.0,0.00027340155793353915,0.00021962208847980946,5.377946945372969e-05,0.0,-0.08878436687640108,76.95,91.54,71.42,18.96036387264457,-7.186484730344378,0.07868804782629013,0.34515145421028137,-0.26646340638399124,0.0
CELH,0001341766,000134176623000035,celh-20230930.htm,2023-11-07,5.09741366840899e-05,1.9357381461304612e-05,3.1616755222785287e-05,0.0,0.00021349034796003252,0.0001747634814819321,3.872686647810042e-05,0.0,-0.056702539669762096,58.0533,52.2533,52.0,-9.990818782050281,-10.427141954031892,0.05554204061627388,0.22572000324726105,-0.17017796263098717,0.0
ABM,0000771497,000077149725000022,abm-20250731.htm,2025-09-05,6.0418955399654806e-05,2.05963497137418e-05,3.9822605685913004e-05,0.0,0.00018359873502049595,0.000128710555145517,5.488817987497896e-05,0.0,-0.05119281046972901,48.26,45.79,46.57,-5.118110236220474,-3.5018648984666334,0.074647918343544,0.22832106053829193,-0.15367314219474792,0.0
ABM,0000771497,000077149725000014,abm-20250430.htm,2025-06-06,3.515271964715794e-05,1.7065811334759928e-05,1.808690831239801e-05,0.0,0.0001977787760552019,0.00019897916354238987,-1.2003874871879816e-06,0.0,-0.04081061365589752,46.61,44.93,48.22,-3.6043767431881535,3.454194378888653,0.06833945214748383,0.1907881796360016,-0.12244872748851776,0.0
ABM,0000771497,000077149725000005,abm-20250131.htm,2025-03-12,3.515271964715794e-05,1.7065811334759928e-05,1.808690831239801e-05,0.0,0.0001977787760552019,0.00019897916354238987,-1.2003874871879816e-06,0.0,-0.05672035870338732,45.51,47.23,45.3,3.7793891452428063,-0.46143704680290387,0.05554204061627388,0.22572000324726105,-0.17017796263098717,0.0
ABM,0000771497,000077149724000017,abm-20240731.htm,2024-09-06,6.819019472459331e-05,1.7176846085931174e-05,5.101334863866214e-05,0.0,0.00028768423362635076,0.0002333889715373516,5.429526208899915e-05,0.0,-0.07554946148775343,51.29,51.61,51.3,0.6239032949892698,0.019496977968413987,0.05036010220646858,0.27711379528045654,-0.22675369307398796,0.0
ABM,0000771497,000077149724000013,abm-20240430.htm,2024-06-06,6.819019472459331e-05,1.7176846085931174e-05,5.101334863866214e-05,0.0,0.00028768423362635076,0.0002333889715373516,5.429526208899915e-05,0.0,-0.07554946148775343,48.4,50.49,49.45,4.318181818181821,2.169421487603307,0.05036010220646858,0.27711379528045654,-0.22675369307398796,0.0
ABM,0000771497,000077149724000008,abm-20240131.htm,2024-03-07,6.819019472459331e-05,1.7176846085931174e-05,5.101334863866214e-05,0.0,0.00028768423362635076,0.0002333889715373516,5.429526208899915e-05,0.0,-0.06185162866495375,43.35,41.69,44.48,-3.8292964244521444,2.6066897347174045,0.05826832726597786,0.24392852187156677,-0.1856601946055889,0.0
PCT,0001830033,000095017025105036,pct-20250630.htm,2025-08-07,0.00011008586443495005,2.0322086129453965e-05,8.976377830549609e-05,0.0,0.00040196761256083846,0.0003184678207617253,8.349979179911315e-05,0.0,-0.06177227560995865,12.35,13.35,13.16,8.097165991902845,6.558704453441311,0.045184578746557236,0.23067466914653778,-0.18549009039998055,0.0
PCT,0001830033,000095017025065671,pct-20250331.htm,2025-05-07,9.800991392694414e-05,2.9634713428094983e-05,6.837520049884915e-05,0.0,0.0004849880060646683,0.0007004063227213919,-0.00021541831665672362,0.0,-0.057488581272385396,6.56,8.2,9.93,25.0,51.37195121951219,0.055202703922986984,0.2275214046239853,-0.1723187007009983,0.0
