ticker,filing_date,bucket,Δsent_overall,pred_28d_pct,direction_rule,signal_strength,direction,filled,entry_date,exit_date,entry_price,exit_price,exit_reason,pnl_pct,bars_held
ROKU,2024-10-31,large,-0.013099446995814404,4.254914229762763,dsent_sign,4.254914229762763,short,True,2024-10-31,2024-10-31,68.0,61.251,tsl,11.019,1
ROKU,2025-05-02,large,-0.032121335284803904,3.471545507171797,dsent_sign,3.471545507171797,short,True,2025-05-02,2025-05-02,59.855,59.721,tsl,0.224,1
ROKU,2025-08-01,large,0.021580001170756702,5.683100254077262,dsent_sign,5.683100254077262,long,True,2025-08-01,2025-08-01,85.22,83.7508,tsl,-1.724,1
SLB,2022-07-27,large,-0.014558142719276204,4.194841507844897,dsent_sign,4.194841507844897,short,True,2022-07-27,2022-07-27,36.04,36.2508,tsl,-0.582,1
SLB,2022-10-26,large,-0.004190173319632992,4.621820303065873,dsent_sign,4.621820303065873,short,True,2022-10-26,2022-10-26,52.93,53.1828,tsl,-0.475,1
SLB,2023-04-26,large,-0.00760646872792381,4.481128751873491,dsent_sign,4.481128751873491,short,True,2023-04-26,2023-04-26,48.845,48.383700000000005,tsl,0.953,1
SLB,2023-07-26,large,0.009667159001765,5.192499751615443,dsent_sign,5.192499751615443,long,True,2023-07-26,2023-07-26,57.05,57.0556,tsl,0.01,1
SLB,2023-10-25,large,0.0,4.7943820735361395,dsent_sign,4.7943820735361395,short,True,2023-10-25,2023-10-25,56.88,56.8344,tsl,0.08,1
SLB,2024-04-24,large,-0.009667159001765,4.396264395456836,dsent_sign,4.396264395456836,short,True,2024-04-24,2024-04-24,49.24,49.587300000000006,tsl,-0.7,1
SLB,2024-07-24,large,0.009667159001765,5.192499751615443,dsent_sign,5.192499751615443,long,True,2024-07-24,2024-07-24,49.1,48.1964,tsl,-1.84,1
SLB,2024-10-23,large,-0.0020606902738411897,4.709517717119485,dsent_sign,4.709517717119485,short,True,2024-10-23,2024-10-24,41.88,42.024,tsl,-0.343,2
SLB,2025-04-25,large,0.002057657802045698,4.879121545213665,dsent_sign,4.879121545213665,long,True,2025-04-25,2025-04-25,34.29,34.8194,tsl,1.544,1
